size_fasta,min_len,max_gap,mismatches,cpp_timing,rust_timing
10000,10,1,2,0.045247936,0.014200655
10000,10,1,3,0.055004228,0.01815211
10000,10,1,4,0.066586483,0.021289078
10000,10,1,5,0.071429305,0.022693603
10000,10,1,6,0.074683552,0.024920174
10000,10,1,7,0.080143231,0.027588512
10000,10,1,8,0.085121282,0.029370907
10000,10,2,0,0.013092729,0.006785074
10000,10,2,1,0.029821095,0.010873777
10000,10,2,2,0.048626743,0.015164662
10000,10,2,3,0.068406416,0.019542314
10000,10,2,4,0.078364577,0.022386943
10000,10,2,5,0.07800859,0.026032539
10000,10,2,6,0.079160415,0.027109145
10000,10,2,7,0.08323394,0.029805274
10000,10,2,8,0.089061987,0.0312567
10000,10,3,0,0.014158424,0.007136483
10000,10,3,1,0.0310182,0.011129877
10000,10,3,2,0.051138103,0.016554216
10000,10,3,3,0.066581244,0.020962759
10000,10,3,4,0.078865516,0.023751828
10000,10,3,5,0.083878526,0.026666357
10000,10,3,6,0.088512009,0.02855176
10000,10,3,7,0.098626058,0.030956941
10000,10,3,8,0.094177407,0.033307781
10000,10,4,0,0.015733769,0.007322583
10000,10,4,1,0.034210517,0.012150144
10000,10,4,2,0.053265265,0.016948404
10000,10,4,3,0.066828842,0.021869806
10000,10,4,4,0.075479458,0.02570726
10000,10,4,5,0.091010928,0.027530323
10000,10,4,6,0.092138144,0.03111496
10000,10,4,7,0.104348627,0.032325806
10000,10,4,8,0.101371319,0.035598733
10000,10,5,0,0.015891499,0.007501321
10000,10,5,1,0.036524129,0.012199833
10000,10,5,2,0.055445957,0.018154429
10000,10,5,3,0.073947575,0.022930991
10000,10,5,4,0.086581387,0.026912286
10000,10,5,5,0.086712355,0.029533406
10000,10,5,6,0.094211717,0.031649028
10000,10,5,7,0.100648252,0.034149647
10000,10,5,8,0.110603164,0.035670963
10000,12,0,0,0.009168374,0.006036177
10000,12,0,1,0.016747985,0.00776787
10000,12,0,2,0.025485322,0.010484779
10000,12,0,3,0.03363951,0.012967451
10000,12,0,4,0.040276394,0.0153891
10000,12,0,5,0.046319222,0.017707972
10000,12,0,6,0.05187104,0.018891627
10000,12,0,7,0.053119375,0.020157852
10000,12,0,8,0.061053855,0.021663326
10000,12,1,0,0.011459185,0.006617085
10000,12,1,1,0.022337264,0.009131515
10000,12,1,2,0.036862887,0.013426849
10000,12,1,3,0.049894977,0.017785182
10000,12,1,4,0.06220131,0.02063549
10000,12,1,5,0.070682107,0.024233347
10000,12,1,6,0.074636252,0.02588182
10000,12,1,7,0.078870026,0.027710913
10000,12,1,8,0.086258947,0.029383857
10000,12,2,0,0.011687284,0.006212236
10000,12,2,1,0.025359463,0.009662253
10000,12,2,2,0.042054847,0.014169966
10000,12,2,3,0.058647903,0.018640318
10000,12,2,4,0.071767113,0.021919256
10000,12,2,5,0.072565219,0.024240497
10000,12,2,6,0.078840265,0.027264724
10000,12,2,7,0.083086539,0.029979085
10000,12,2,8,0.094170606,0.03134103
10000,12,3,0,0.012236933,0.006772483
10000,12,3,1,0.024758285,0.009904512
10000,12,3,2,0.042187267,0.014478283
10000,12,3,3,0.061202285,0.019685574
10000,12,3,4,0.071018166,0.023509669
10000,12,3,5,0.0803835,0.026836216
10000,12,3,6,0.08581793,0.029412916
10000,12,3,7,0.091288458,0.031559848
10000,12,3,8,0.107262186,0.034239638
10000,12,4,0,0.01298802,0.006929263
10000,12,4,1,0.028322681,0.010791069
10000,12,4,2,0.048267993,0.016241848
10000,12,4,3,0.062277239,0.020675391
10000,12,4,4,0.08284111,0.025485741
10000,12,4,5,0.092871982,0.029232927
10000,12,4,6,0.093889738,0.031666978
10000,12,4,7,0.096878726,0.034602507
10000,12,4,8,0.102018536,0.035098834
10000,12,5,0,0.013910467,0.006716204
10000,12,5,1,0.029068998,0.010883028
10000,12,5,2,0.0493091,0.016450876
10000,12,5,3,0.06990449,0.023848218
10000,12,5,4,0.081350026,0.02615983
10000,12,5,5,0.095575292,0.029947804
10000,12,5,6,0.099087238,0.033099333
10000,12,5,7,0.111442559,0.034985086
10000,12,5,8,0.110668933,0.037447616
10000,14,0,0,0.009421523,0.006196966
10000,14,0,1,0.014738924,0.007227731
10000,14,0,2,0.024055268,0.009711433
10000,14,0,3,0.034658935,0.013866007
10000,14,0,4,0.039242058,0.015438822
10000,14,0,5,0.045960142,0.016836135
10000,14,0,6,0.050218536,0.018653118
10000,14,0,7,0.055737855,0.020168072
10000,14,0,8,0.05706955,0.022409844
10000,14,1,0,0.009712793,0.005983546
10000,14,1,1,0.019569925,0.007818789
10000,14,1,2,0.032615805,0.012325242
10000,14,1,3,0.047282888,0.016772075
10000,14,1,4,0.058070166,0.019769364
10000,14,1,5,0.072202141,0.023787828
10000,14,1,6,0.075931397,0.025336663
10000,14,1,7,0.081484835,0.027927322
10000,14,1,8,0.086048447,0.030038225
